,holdings,total,cost_basis,signal,Date,return_rate
768,0.0,8651.752671063328,0.0,0,2023-05-08,0.8651752671063329
769,0.0,8651.752671063328,0.0,0,2023-05-09,0.8651752671063329
770,0.0,8651.752671063328,0.0,0,2023-05-10,0.8651752671063329
771,0.0,8651.752671063328,0.0,0,2023-05-11,0.8651752671063329
772,0.0,8651.752671063328,0.0,0,2023-05-12,0.8651752671063329
773,0.0,8651.752671063328,0.0,0,2023-05-13,0.8651752671063329
774,0.0,8651.752671063328,0.0,0,2023-05-14,0.8651752671063329
775,0.0,8651.752671063328,0.0,0,2023-05-15,0.8651752671063329
776,0.0,8651.752671063328,0.0,0,2023-05-16,0.8651752671063329
777,0.0,8651.752671063328,0.0,0,2023-05-17,0.8651752671063329
778,0.0,8651.752671063328,0.0,0,2023-05-18,0.8651752671063329
779,0.0,8651.752671063328,0.0,0,2023-05-19,0.8651752671063329
780,0.0,8651.752671063328,0.0,0,2023-05-20,0.8651752671063329
781,0.0,8651.752671063328,0.0,0,2023-05-21,0.8651752671063329
782,0.0,8651.752671063328,0.0,0,2023-05-22,0.8651752671063329
783,0.0,8651.752671063328,0.0,0,2023-05-23,0.8651752671063329
784,0.0,8651.752671063328,0.0,0,2023-05-24,0.8651752671063329
785,0.0,8651.752671063328,0.0,0,2023-05-25,0.8651752671063329
786,0.0,8651.752671063328,0.0,0,2023-05-26,0.8651752671063329
787,0.0,8651.752671063328,0.0,0,2023-05-27,0.8651752671063329
788,0.0,8651.752671063328,0.0,0,2023-05-28,0.8651752671063329
789,0.0,8651.752671063328,0.0,0,2023-05-29,0.8651752671063329
790,0.0,8651.752671063328,0.0,0,2023-05-30,0.8651752671063329
791,0.0,8651.752671063328,0.0,0,2023-05-31,0.8651752671063329
792,0.0,8651.752671063328,0.0,0,2023-06-01,0.8651752671063329
793,0.0,8651.752671063328,0.0,0,2023-06-02,0.8651752671063329
794,0.0,8651.752671063328,0.0,0,2023-06-03,0.8651752671063329
795,0.0,8651.752671063328,0.0,0,2023-06-04,0.8651752671063329
796,0.0,8651.752671063328,0.0,0,2023-06-05,0.8651752671063329
797,0.0,8651.752671063328,0.0,0,2023-06-06,0.8651752671063329
798,0.0,8651.752671063328,0.0,0,2023-06-07,0.8651752671063329
799,0.0,8651.752671063328,0.0,0,2023-06-08,0.8651752671063329
800,0.0,8651.752671063328,0.0,0,2023-06-09,0.8651752671063329
801,0.0,8651.752671063328,0.0,0,2023-06-10,0.8651752671063329
802,0.0,8651.752671063328,0.0,0,2023-06-11,0.8651752671063329
803,0.0,8651.752671063328,0.0,0,2023-06-12,0.8651752671063329
804,0.0,8651.752671063328,0.0,0,2023-06-13,0.8651752671063329
805,0.0,8651.752671063328,0.0,0,2023-06-14,0.8651752671063329
806,0.0,8651.752671063328,0.0,0,2023-06-15,0.8651752671063329
807,0.0,8651.752671063328,0.0,0,2023-06-16,0.8651752671063329
808,0.0,8651.752671063328,0.0,0,2023-06-17,0.8651752671063329
809,-0.3796515333924071,8651.752671063328,10000.0,-1,2023-06-18,0.8651752671063329
810,0.0,8843.241119987148,0.0,0,2023-06-19,0.8843241119987147
811,0.0,8843.241119987148,0.0,0,2023-06-20,0.8843241119987147
812,0.0,8843.241119987148,0.0,0,2023-06-21,0.8843241119987147
813,0.0,8843.241119987148,0.0,0,2023-06-22,0.8843241119987147
814,0.0,8843.241119987148,0.0,0,2023-06-23,0.8843241119987147
815,0.0,8843.241119987148,0.0,0,2023-06-24,0.8843241119987147
816,0.0,8843.241119987148,0.0,0,2023-06-25,0.8843241119987147
817,0.0,8843.241119987148,0.0,0,2023-06-26,0.8843241119987147
818,0.0,8843.241119987148,0.0,0,2023-06-27,0.8843241119987147
819,0.0,8843.241119987148,0.0,0,2023-06-28,0.8843241119987147
820,0.0,8843.241119987148,0.0,0,2023-06-29,0.8843241119987147
821,0.0,8843.241119987148,0.0,0,2023-06-30,0.8843241119987147
822,0.0,8843.241119987148,0.0,0,2023-07-01,0.8843241119987147
823,0.0,8843.241119987148,0.0,0,2023-07-02,0.8843241119987147
824,0.0,8843.241119987148,0.0,0,2023-07-03,0.8843241119987147
825,0.0,8843.241119987148,0.0,0,2023-07-04,0.8843241119987147
826,0.0,8843.241119987148,0.0,0,2023-07-05,0.8843241119987147
827,0.0,8843.241119987148,0.0,0,2023-07-06,0.8843241119987147
828,0.0,8843.241119987148,0.0,0,2023-07-07,0.8843241119987147
829,0.0,8843.241119987148,0.0,0,2023-07-08,0.8843241119987147
830,0.0,8843.241119987148,0.0,0,2023-07-09,0.8843241119987147
831,0.0,8843.241119987148,0.0,0,2023-07-10,0.8843241119987147
832,0.0,8843.241119987148,0.0,0,2023-07-11,0.8843241119987147
833,0.0,8843.241119987148,0.0,0,2023-07-12,0.8843241119987147
834,0.0,8843.241119987148,0.0,0,2023-07-13,0.8843241119987147
835,0.0,8843.241119987148,0.0,0,2023-07-14,0.8843241119987147
