hour,hourly_net_amount,hourly_net_amount_usd,cumulative_amount,cumulative_amount_usd
2023-03-20 21:00:00.000 UTC,-391.04845765835256,-689179.891292504,789875.3503523507,674226771.3559015
2023-03-20 20:00:00.000 UTC,489.65422631280103,860885.5779918511,790266.3988100091,674915951.2471939
2023-03-20 19:00:00.000 UTC,99.8372734531874,176525.27831078423,789776.7445836964,674055065.6692021
2023-03-20 18:00:00.000 UTC,4.018334198177989,7064.3118870808685,789676.9073102432,673878540.3908913
2023-03-20 17:00:00.000 UTC,-84.32078086912162,-148529.36908534035,789672.8889760451,673871476.0790043
2023-03-20 16:00:00.000 UTC,993.1449035443065,1759058.2531576757,789757.2097569142,674020005.4480896
2023-03-20 15:00:00.000 UTC,1.1344409256825487,2015.8334584823483,788764.0648533698,672260947.1949319
2023-03-20 14:00:00.000 UTC,1078.9806787257949,1904303.7896899427,788762.9304124442,672258931.3614734
2023-03-20 13:00:00.000 UTC,86.20536047476949,154019.66934585167,787683.9497337184,670354627.5717835
2023-03-20 12:00:00.000 UTC,18037.02078559903,32187785.072732892,787597.7443732437,670200607.9024377
2023-03-20 11:00:00.000 UTC,517.5783491750427,920999.617656038,769560.7235876446,638012822.8297048
2023-03-20 10:00:00.000 UTC,69.17570083676512,123428.81948902326,769043.1452384696,637091823.2120488
2023-03-20 09:00:00.000 UTC,3120.771214720812,5595886.072828035,768973.9695376328,636968394.3925598
2023-03-20 08:00:00.000 UTC,-301.28305785553846,-540830.2043258986,765853.198322912,631372508.3197317
2023-03-20 07:00:00.000 UTC,-44349.976804293496,-78284361.55609867,766154.4813807675,631913338.5240576
2023-03-20 06:00:00.000 UTC,1163.4,2049910.8,810504.458185061,710197700.0801563
2023-03-20 05:00:00.000 UTC,-540.0054903029401,-948784.2464073626,809341.058185061,708147789.2801564
2023-03-20 04:00:00.000 UTC,116.68821981620496,204795.99395282683,809881.0636753639,709096573.5265638
2023-03-20 03:00:00.000 UTC,-197.17165215424774,-349135.7879025696,809764.3754555477,708891777.5326109
2023-03-20 02:00:00.000 UTC,-70.41389712273347,-125282.51817768108,809961.547107702,709240913.3205135
2023-03-20 01:00:00.000 UTC,-1289.8751286627703,-2292507.964923628,810031.9610048247,709366195.8386911
2023-03-20 00:00:00.000 UTC,11.624812062110852,20762.263087291845,811321.8361334875,711658703.8036147
2023-03-19 23:00:00.000 UTC,30.93293210206778,55963.55142974001,811310.2113214254,711637941.5405275
2023-03-19 22:00:00.000 UTC,11123.954086815933,19996419.86646032,811279.2783893233,711581977.9890977
2023-03-19 21:00:00.000 UTC,-145.43988093546326,-261748.15371955326,800155.3243025073,691585558.1226374
2023-03-19 20:00:00.000 UTC,-12297.849694452587,-22461284.59593598,800300.7641834428,691847306.2763569
2023-03-19 19:00:00.000 UTC,635.5045488450148,1158334.1411798086,812598.6138778954,714308590.8722929
2023-03-19 18:00:00.000 UTC,564.752212212079,1024285.4397669256,811963.1093290504,713150256.7311131
2023-03-19 17:00:00.000 UTC,100.77380652927906,183723.74989772454,811398.3571168383,712125971.2913462
2023-03-19 16:00:00.000 UTC,1182.8805051890024,2129492.4582715533,811297.5833103091,711942247.5414485
2023-03-19 15:00:00.000 UTC,289.3546959875373,518170.60248056205,810114.7028051201,709812755.083177
2023-03-19 14:00:00.000 UTC,-5.477613205189547,-9755.300461650271,809825.3481091326,709294584.4806964
2023-03-19 13:00:00.000 UTC,-0.49828361214061595,-891.0257723937281,809830.8257223378,709304339.7811581
2023-03-19 12:00:00.000 UTC,-10.29999263010632,-18423.493817544873,809831.32400595,709305230.8069305
2023-03-19 11:00:00.000 UTC,5234.4572640195875,9314926.079613417,809841.6239985802,709323654.3007481
2023-03-19 10:00:00.000 UTC,-401.0712814294418,-714352.070066793,804607.1667345605,700008728.2211347
2023-03-19 09:00:00.000 UTC,81.97923540000001,145775.47638828002,805008.23801599,700723080.2912015
2023-03-19 08:00:00.000 UTC,2792.619515969757,4965919.8018829,804926.25878059,700577304.8148131
2023-03-19 07:00:00.000 UTC,15104.784255986668,26793470.50463939,802133.6392646203,695611385.0129303
2023-03-19 06:00:00.000 UTC,-851.6100265836711,-1518275.9036941663,787028.8550086336,668817914.5082909
2023-03-19 05:00:00.000 UTC,134.16741924225784,239274.17547664265,787880.4650352172,670336190.411985
2023-03-19 04:00:00.000 UTC,209.68222393811595,374647.6167991893,787746.297615975,670096916.2365084
2023-03-19 03:00:00.000 UTC,10.171848275385688,18128.8783072889,787536.6153920369,669722268.6197091
2023-03-19 02:00:00.000 UTC,-15.36733949422102,-27394.89509616299,787526.4435437615,669704139.7414018
2023-03-19 01:00:00.000 UTC,-1.9042524527263858,-3388.50298447944,787541.8108832557,669731534.636498
2023-03-19 00:00:00.000 UTC,-550.2184496545768,-969820.5415456536,787543.7151357085,669734923.1394825
2023-03-18 23:00:00.000 UTC,35.76570679098426,63448.72150427399,788093.933585363,670704743.6810281
2023-03-18 22:00:00.000 UTC,-12.969341106273141,-23149.366020820118,788058.167878572,670641294.9595238
2023-03-18 21:00:00.000 UTC,-3492.5083014763777,-6275059.515428637,788071.1372196783,670664444.3255446
2023-03-18 20:00:00.000 UTC,22.70717456225044,40786.62694871424,791563.6455211546,676939503.8409733
2023-03-18 19:00:00.000 UTC,41.83493768079796,75148.09855601737,791540.9383465924,676898717.2140245
2023-03-18 18:00:00.000 UTC,-14.29632256,-25564.112148889602,791499.1034089116,676823569.1154685
2023-03-18 17:00:00.000 UTC,-141.2350132900404,-253659.49621904545,791513.3997314717,676849133.2276174
2023-03-18 16:00:00.000 UTC,-4051.49242461719,-7256790.141428834,791654.6347447617,677102792.7238364
2023-03-18 15:00:00.000 UTC,-639.6206095627227,-1164154.2828468247,795706.1271693789,684359582.8652653
2023-03-18 14:00:00.000 UTC,-35.95192803710468,-65473.13470621245,796345.7477789416,685523737.148112
2023-03-18 13:00:00.000 UTC,-17.827687023511817,-32632.333158446738,796381.6997069787,685589210.2828183
2023-03-18 12:00:00.000 UTC,-1171.8455116475177,-2129243.2946635396,796399.5273940023,685621842.6159768
2023-03-18 11:00:00.000 UTC,1216.2484424544923,2213997.852222035,797571.3729056498,687751085.9106404
2023-03-18 10:00:00.000 UTC,-921.8356333952072,-1674643.4850510694,796355.1244631953,685537088.0584183
2023-03-18 09:00:00.000 UTC,11862.19755367626,21500707.553940367,797276.9600965906,687211731.5434693
2023-03-18 08:00:00.000 UTC,138.29960414885866,251572.51193093986,785414.7625429144,665711023.9895289
2023-03-18 07:00:00.000 UTC,-807.2436414879174,-1465211.788791889,785276.4629387655,665459451.477598
2023-03-18 06:00:00.000 UTC,-425.36881263024276,-772780.2829697409,786083.7065802534,666924663.2663898
2023-03-18 05:00:00.000 UTC,87.21023999218261,157874.08115064842,786509.0753928836,667697443.5493596
2023-03-18 04:00:00.000 UTC,-2018.6344386000096,-3663982.996814105,786421.8651528915,667539569.4682089
2023-03-18 03:00:00.000 UTC,-1109.1415672850892,-2008555.555612241,788440.4995914915,671203552.465023
2023-03-18 02:00:00.000 UTC,3.5805000243937446,6517.226144401494,789549.6411587766,673212108.0206352
2023-03-18 01:00:00.000 UTC,-319.809520530185,-579072.7026335954,789546.0606587522,673205590.7944908
2023-03-18 00:00:00.000 UTC,201.30453024694626,360612.90939377464,789865.8701792824,673784663.4971244
2023-03-17 23:00:00.000 UTC,-744.8617032917783,-1324401.3515379464,789664.5656490354,673424050.5877306
2023-03-17 22:00:00.000 UTC,-9771.816533710802,-17186670.919490557,790409.4273523272,674748451.9392686
2023-03-17 21:00:00.000 UTC,2656.9999999999995,4634578.529999999,800181.243886038,691935122.8587592
2023-03-17 20:00:00.000 UTC,621.5795317242646,1084668.7144494762,797524.243886038,687300544.3287592
2023-03-17 19:00:00.000 UTC,-383.9762224469313,-665749.4937651628,796902.6643543137,686215875.6143097
2023-03-17 18:00:00.000 UTC,-271.98003800291286,-470234.44710437616,797286.6405767606,686881625.1080748
2023-03-17 17:00:00.000 UTC,-497.59245512360724,-854664.8009203078,797558.6206147636,687351859.5551791
2023-03-17 16:00:00.000 UTC,-679.2687397769665,-1167554.280678241,798056.2130698871,688206524.3560995
2023-03-17 15:00:00.000 UTC,158.0059116035156,270923.256271852,798735.481809664,689374078.6367778
2023-03-17 14:00:00.000 UTC,-20.6813855676464,-35963.481805147356,798577.4758980605,689103155.3805059
2023-03-17 13:00:00.000 UTC,378.11087129952386,658733.4166518915,798598.1572836281,689139118.8623111
