hour,hourly_net_amount,hourly_net_amount_usd,cumulative_amount,cumulative_amount_usd
2024-07-26 13:00:00.000 UTC,-0.4140803,-27864.817429581002,40619.15164991983,2317866356.7738214
2024-07-26 12:00:00.000 UTC,1.81308129,122100.0013472568,40619.56573021983,2317894221.591251
2024-07-26 11:00:00.000 UTC,-2.85770769,-192380.82453664616,40617.75264892983,2317772121.589904
2024-07-26 10:00:00.000 UTC,0.03606328,2429.8792531288004,40620.61035661983,2317964502.4144406
2024-07-26 09:00:00.000 UTC,7.62899834,512149.535110963,40620.57429333983,2317962072.5351877
2024-07-26 08:00:00.000 UTC,9.63501965,644903.1789883625,40612.94529499983,2317449923.000077
2024-07-26 07:00:00.000 UTC,6.35353106,426469.20897597075,40603.31027534983,2316805019.8210883
2024-07-26 06:00:00.000 UTC,0.52989624,35478.566873712,40596.95674428983,2316378550.6121125
2024-07-26 05:00:00.000 UTC,-2.63880787,-177023.6607046677,40596.426848049836,2316343072.045239
2024-07-26 04:00:00.000 UTC,5.36952098,360023.5358628806,40599.06565591983,2316520095.7059436
2024-07-26 03:00:00.000 UTC,120.0848996,8048393.785987988,40593.69613493983,2316160072.1700807
2024-07-26 02:00:00.000 UTC,53.32620399,3544235.4936485672,40473.611235339835,2308111678.384093
2024-07-26 01:00:00.000 UTC,0.44847674,29786.6904246478,40420.285031349835,2304567442.8904443
2024-07-26 00:00:00.000 UTC,-2.09689356,-138040.78866878038,40419.836554609836,2304537656.20002
2024-07-25 23:00:00.000 UTC,-0.00103099,-67.7170109246,40421.93344816984,2304675696.9886885
2024-07-25 22:00:00.000 UTC,-2.92821343,-192720.9232560017,40421.93447915984,2304675764.7056994
2024-07-25 21:00:00.000 UTC,0.58809045,38323.6492873125,40424.86269258984,2304868485.6289554
2024-07-25 20:00:00.000 UTC,6.61293741,428557.0298518485,40424.27460213984,2304830161.979668
2024-07-25 19:00:00.000 UTC,-54.39580356,-3514771.7920365455,40417.66166472984,2304401604.949816
2024-07-25 18:00:00.000 UTC,35.98758681,2342112.095816159,40472.057468289844,2307916376.7418528
2024-07-25 17:00:00.000 UTC,1.66086772,107826.67142239079,40436.069881479845,2305574264.6460366
2024-07-25 16:00:00.000 UTC,-3.84168478,-248721.1988734972,40434.40901375985,2305466437.974614
2024-07-25 15:00:00.000 UTC,4.86107706,314917.48849496886,40438.25069853985,2305715159.1734877
2024-07-25 14:00:00.000 UTC,-5.03837068,-321853.63822374,40433.38962147985,2305400241.684993
2024-07-25 13:00:00.000 UTC,6.59488069,422845.4820232887,40438.42799215985,2305722095.3232164
2024-07-25 12:00:00.000 UTC,-0.00961816,-617.2181024256,40431.83311146985,2305299249.841193
2024-07-25 11:00:00.000 UTC,0.50431582,32381.362328469997,40431.842729629854,2305299867.0592957
2024-07-25 10:00:00.000 UTC,-54.21442213,-3487155.1216116804,40431.338413809855,2305267485.696967
2024-07-25 09:00:00.000 UTC,-0.45033269,-28997.4442950204,40485.55283593985,2308754640.8185787
2024-07-25 08:00:00.000 UTC,0.8528653,54746.506745931,40486.00316862985,2308783638.2628736
2024-07-25 07:00:00.000 UTC,11.29792834,727207.0876830595,40485.15030332985,2308728891.756128
2024-07-25 06:00:00.000 UTC,0.98206557,63147.709830668704,40473.85237498985,2308001684.6684446
2024-07-25 05:00:00.000 UTC,12.07801776,776293.2134325649,40472.87030941985,2307938536.958614
2024-07-25 04:00:00.000 UTC,-36.92169287,-2368648.8084138995,40460.79229165985,2307162243.745181
2024-07-25 03:00:00.000 UTC,82.54978928,5304572.68782877,40497.713984529844,2309530892.553595
