hour,token_col,collateral_amount_usd,debt_amount_usd,extracted,liquidation_count
2025-02-08 21:00:00,WETH,0,0,0,0
2025-02-08 20:00:00,WETH,0,0,0,0
2025-02-08 19:00:00,WETH,0,0,0,0
2025-02-08 18:00:00,WETH,0,0,0,0
2025-02-08 17:00:00,WETH,0,0,0,0
2025-02-08 16:00:00,WETH,0,0,0,0
2025-02-08 15:00:00,WETH,0,0,0,0
2025-02-08 14:00:00,WETH,0,0,0,0
2025-02-08 13:00:00,WETH,0,0,0,0
2025-02-08 12:00:00,WETH,0,0,0,0
2025-02-08 11:00:00,WETH,0,0,0,0
2025-02-08 10:00:00,WETH,0,0,0,0
2025-02-08 09:00:00,WETH,0,0,0,0
2025-02-08 08:00:00,WETH,0,0,0,0
2025-02-08 07:00:00,WETH,0,0,0,0
2025-02-08 06:00:00,WETH,0,0,0,0
2025-02-08 05:00:00,WETH,46.25825286685804,44.265180714679246,1.9930721521787902,1
2025-02-08 04:00:00,WETH,0,0,0,0
2025-02-08 03:00:00,WETH,0,0,0,0
2025-02-08 02:00:00,WETH,0,0,0,0
2025-02-08 01:00:00,WETH,0,0,0,0
2025-02-08 00:00:00,WETH,120.15463083810236,115.01297079934466,5.141660038757699,2
2025-02-07 23:00:00,WETH,865.789973086448,821.9515165358173,43.83845655063071,8
2025-02-07 22:00:00,WETH,152.14650909226924,145.52764799243437,6.618861099834874,1
2025-02-07 21:00:00,WETH,402.3379394635283,383.0834042761783,19.254535187349987,4
2025-02-07 20:00:00,WETH,8697.861749913594,8368.462227099533,329.39952281406164,9
2025-02-07 19:00:00,WETH,89.69371588716676,85.1181882125,4.575527674666759,1
2025-02-07 18:00:00,WETH,0,0,0,0
2025-02-07 17:00:00,WETH,361.0866833713658,343.45100317991046,17.635680191455293,2
2025-02-07 16:00:00,WETH,0,0,0,0
2025-02-07 15:00:00,WETH,0,0,0,0
2025-02-07 14:00:00,WETH,0,0,0,0
2025-02-07 13:00:00,WETH,0,0,0,0
2025-02-07 12:00:00,WETH,106.96849946483692,101.65044076727601,5.3180586975609145,2
2025-02-07 11:00:00,WETH,0,0,0,0
2025-02-07 10:00:00,WETH,0,0,0,0
2025-02-07 09:00:00,WETH,45.609154029526714,43.29184081467382,2.317313214852895,1
2025-02-07 08:00:00,WETH,0,0,0,0
2025-02-07 07:00:00,WETH,0,0,0,0
2025-02-07 06:00:00,WETH,0,0,0,0
2025-02-07 05:00:00,WETH,94.32564130344716,89.13929775587503,5.186343547572129,2
2025-02-07 04:00:00,WETH,0,0,0,0
2025-02-07 03:00:00,WETH,0,0,0,0
2025-02-07 02:00:00,WETH,0,0,0,0
2025-02-07 01:00:00,WETH,0,0,0,0
2025-02-07 00:00:00,WETH,0,0,0,0
2025-02-06 23:00:00,WETH,56.67254807169908,53.84980943999996,2.8227386316991243,1
2025-02-06 22:00:00,WETH,81.17906510046133,76.9404495475525,4.238615552908826,1
2025-02-06 21:00:00,WETH,145.7991360620046,137.47958509833327,8.319550963671333,1
2025-02-06 20:00:00,WETH,0,0,0,0
2025-02-06 19:00:00,WETH,0,0,0,0
2025-02-06 18:00:00,WETH,0,0,0,0
2025-02-06 17:00:00,WETH,0,0,0,0
2025-02-06 16:00:00,WETH,0,0,0,0
2025-02-06 15:00:00,WETH,8862.894054354969,8341.826219806931,521.0678345480372,2
2025-02-06 14:00:00,WETH,0,0,0,0
2025-02-06 13:00:00,WETH,0,0,0,0
2025-02-06 12:00:00,WETH,0,0,0,0
2025-02-06 11:00:00,WETH,0,0,0,0
2025-02-06 10:00:00,WETH,0,0,0,0
2025-02-06 09:00:00,WETH,0,0,0,0
2025-02-06 08:00:00,WETH,0,0,0,0
2025-02-06 07:00:00,WETH,0,0,0,0
2025-02-06 06:00:00,WETH,0,0,0,0
2025-02-06 05:00:00,WETH,0,0,0,0
2025-02-06 04:00:00,WETH,0,0,0,0
2025-02-06 03:00:00,WETH,0,0,0,0
2025-02-06 02:00:00,WETH,0,0,0,0
2025-02-06 01:00:00,WETH,52.65845412296833,50.04017758194411,2.6182765410242226,1
2025-02-06 00:00:00,WETH,105.29655103756934,502252191771.3355,-502252191666.039,2
2025-02-05 23:00:00,WETH,0,0,0,0
2025-02-05 22:00:00,WETH,0,0,0,0
2025-02-05 21:00:00,WETH,0,0,0,0
2025-02-05 20:00:00,WETH,56.96711267910885,54.423087884886755,2.5440247942220964,1
2025-02-05 19:00:00,WETH,0,0,0,0
2025-02-05 18:00:00,WETH,384.2563654106142,368.3330740647646,15.92329134584957,6
2025-02-05 17:00:00,WETH,0,0,0,0
2025-02-05 16:00:00,WETH,38411.00658132609,36751.107799434394,1659.898781891694,1
2025-02-05 15:00:00,WETH,0,0,0,0
2025-02-05 14:00:00,WETH,0,0,0,0
2025-02-05 13:00:00,WETH,0,0,0,0
2025-02-05 12:00:00,WETH,0,0,0,0
2025-02-05 11:00:00,WETH,0,0,0,0
2025-02-05 10:00:00,WETH,0,0,0,0
2025-02-05 09:00:00,WETH,0,0,0,0
2025-02-05 08:00:00,WETH,0,0,0,0
2025-02-05 07:00:00,WETH,57.081815878060375,54.29339652794999,2.788419350110388,1
2025-02-05 06:00:00,WETH,69.09463716078467,65.38009820092759,3.71453895985708,1
2025-02-05 05:00:00,WETH,686.1816543023319,655.229936714482,30.951717587849927,10
2025-02-05 04:00:00,WETH,123.703406435414,117.414574066256,6.288832369157994,2
2025-02-05 03:00:00,WETH,62.848712408902955,60.071594417448665,2.77711799145429,1
2025-02-05 02:00:00,WETH,0,0,0,0
2025-02-05 01:00:00,WETH,0,0,0,0
2025-02-05 00:00:00,WETH,60.48438652477744,57.67258526085652,2.81180126392092,1
2025-02-04 23:00:00,WETH,0,0,0,0
2025-02-04 22:00:00,WETH,4946.436890565586,4686.571071546679,259.8658190189058,2
2025-02-04 21:00:00,WETH,41448.173495343544,39007.12778519683,2441.0457101467146,2
2025-02-04 20:00:00,WETH,7896.951721615528,7472.736825318299,424.21489629722873,1
2025-02-04 19:00:00,WETH,0,0,0,0
2025-02-04 18:00:00,WETH,0,0,0,0
2025-02-04 17:00:00,WETH,0,0,0,0
2025-02-04 16:00:00,WETH,0,0,0,0
2025-02-04 15:00:00,WETH,0,0,0,0
2025-02-04 14:00:00,WETH,0,0,0,0
2025-02-04 13:00:00,WETH,0,0,0,0
2025-02-04 12:00:00,WETH,0,0,0,0
2025-02-04 11:00:00,WETH,0,0,0,0
2025-02-04 10:00:00,WETH,0,0,0,0
2025-02-04 09:00:00,WETH,0,0,0,0
2025-02-04 08:00:00,WETH,258.35364011565787,247.11302916456117,11.24061095109666,3
2025-02-04 07:00:00,WETH,66.20007539838174,62.304692690399996,3.895382707981746,1
2025-02-04 06:00:00,WETH,490.6567529383411,467.2183220343386,23.438430904002495,7
2025-02-04 05:00:00,WETH,587.5509435516906,556.2411382865291,31.309805265161515,3
2025-02-04 04:00:00,WETH,728.519890765742,695.9696699931202,32.55022077262183,8
2025-02-04 03:00:00,WETH,360.0227679443942,342.166145482036,17.856622462358246,2
2025-02-04 02:00:00,WETH,713.4066684510094,678.2573387902028,35.14932966080674,6
2025-02-04 01:00:00,WETH,506.2315394860859,481.56099074454767,24.67054874153824,3
2025-02-04 00:00:00,WETH,643.8838601528937,610.8510548359932,33.032805316900436,4
2025-02-03 23:00:00,WETH,1276.7969356228186,1216.0810087861203,60.715926836698344,7
2025-02-03 22:00:00,WETH,0,0,0,0
2025-02-03 21:00:00,WETH,628.186106689031,599.0847107500387,29.10139593899234,3
2025-02-03 20:00:00,WETH,0,0,0,0
2025-02-03 19:00:00,WETH,0,0,0,0
2025-02-03 18:00:00,WETH,251.07304807389525,240.66348627364948,10.409561800245768,1
2025-02-03 17:00:00,WETH,444.5575408351285,422.1489793745621,22.408561460566432,1
2025-02-03 16:00:00,WETH,0,0,0,0
2025-02-03 15:00:00,WETH,0,0,0,0
2025-02-03 14:00:00,WETH,0,0,0,0
2025-02-03 13:00:00,WETH,472.0259812233258,449.856697707401,22.169283515924803,2
2025-02-03 12:00:00,WETH,0,0,0,0
2025-02-03 11:00:00,WETH,3614.963914408084,3444.4836234169225,170.48029099116138,5
2025-02-03 10:00:00,WETH,2680.060662844834,2558.614962328554,121.4457005162798,9
2025-02-03 09:00:00,WETH,1951.557745019994,1864.5427878410385,87.01495717895514,7
2025-02-03 08:00:00,WETH,956.8218524438277,903.6061232141137,53.215729229713816,3
2025-02-03 07:00:00,WETH,4929.458205660943,4664.442472287262,265.0157333736811,11
2025-02-03 06:00:00,WETH,4736.942890926969,4518.6978766747225,218.24501425224622,10
2025-02-03 05:00:00,WETH,32009.421716483925,30542.595956592675,1466.8257598912508,49
2025-02-03 04:00:00,WETH,96033.91580543775,91126.6489999068,4907.266805530934,61
2025-02-03 03:00:00,WETH,114809.14805264515,109808.61225365385,5000.535798991321,51
2025-02-03 02:00:00,WETH,65183788.35515827,58686606.91266954,6497181.442488737,226
