upper_threshold,lower_threshold,sharpe_ratio
-600000000,-3000000000,0.13207611841900274
-600000000,-2900000000,0.13207611841900274
-600000000,-2800000000,0.13207611841900274
-600000000,-2700000000,0.11820165116514263
-600000000,-2600000000,0.11820165116514263
-600000000,-2500000000,0.11820165116514263
-600000000,-2400000000,0.11820165116514263
-600000000,-2300000000,0.11820165116514263
-600000000,-2200000000,0.11820165116514263
-600000000,-2100000000,0.11820165116514263
-600000000,-2000000000,0.11820165116514263
-600000000,-1900000000,0.11820165116514263
-600000000,-1800000000,0.11820165116514263
-600000000,-1700000000,0.11820165116514263
-600000000,-1600000000,0.12717941511871478
-600000000,-1500000000,0.10863139576657536
-600000000,-1400000000,0.10863139576657536
-600000000,-1300000000,0.10863139576657536
-600000000,-1200000000,0.0925257130752518
-600000000,-1100000000,0.08052924333063206
-600000000,-1000000000,0.09032670637993866
-600000000,-900000000,0.036198856599838444
-600000000,-800000000,0.027467567941094756
-600000000,-700000000,0.03481359861584102
-500000000,-3200000000,0.13971433959063925
-500000000,-3100000000,0.13971433959063925
-500000000,-3000000000,0.13971433959063925
-500000000,-2900000000,0.13971433959063925
-500000000,-2800000000,0.13971433959063925
-500000000,-2700000000,0.12584350214011605
-500000000,-2600000000,0.12584350214011605
-500000000,-2500000000,0.12584350214011605
-500000000,-2400000000,0.12584350214011605
-500000000,-2300000000,0.12584350214011605
-500000000,-2200000000,0.12584350214011605
-500000000,-2100000000,0.12584350214011605
-500000000,-2000000000,0.12584350214011605
-500000000,-1900000000,0.12584350214011605
-500000000,-1800000000,0.12584350214011605
-500000000,-1700000000,0.12584350214011605
-500000000,-1600000000,0.13481605946374653
-500000000,-1500000000,0.11627169381412429
-500000000,-1400000000,0.11627169381412429
-500000000,-1300000000,0.11627169381412429
-500000000,-1200000000,0.10016972479123866
-500000000,-1100000000,0.08817764755647274
-500000000,-1000000000,0.0979728374533242
-500000000,-900000000,0.04385558401485497
-500000000,-800000000,0.03512403708608128
-500000000,-700000000,0.04247524992413566
-500000000,-600000000,0.02426743100296684
-400000000,-3200000000,0.1131875922234326
-400000000,-3100000000,0.1131875922234326
-400000000,-3000000000,0.1131875922234326
-400000000,-2900000000,0.1131875922234326
-400000000,-2800000000,0.1131875922234326
-400000000,-2700000000,0.09920832873596876
-400000000,-2600000000,0.09920832873596876
-400000000,-2500000000,0.09920832873596876
-400000000,-2400000000,0.09920832873596876
-400000000,-2300000000,0.09920832873596876
-400000000,-2200000000,0.09920832873596876
-400000000,-2100000000,0.09920832873596876
-400000000,-2000000000,0.09920832873596876
-400000000,-1900000000,0.09920832873596876
-400000000,-1800000000,0.09920832873596876
-400000000,-1700000000,0.09920832873596876
-400000000,-1600000000,0.10826075545663011
-400000000,-1500000000,0.08957575640715663
-400000000,-1400000000,0.08957575640715663
-400000000,-1300000000,0.08957575640715663
-400000000,-1200000000,0.07335006241996171
-400000000,-1100000000,0.06126029245104133
-400000000,-1000000000,0.07113070211336166
-400000000,-900000000,0.01660587358217847
-400000000,-800000000,0.007815896930936986
-400000000,-700000000,0.015198524037989079
-400000000,-600000000,-0.0030735802958980463
