Threshold,Sharpe_Ratio
697000000,0.8561
698000000,0.8561
699000000,0.8561
700000000,0.8561
701000000,0.8561
702000000,0.7186
703000000,0.7186
704000000,0.7186
705000000,0.7186
706000000,0.6666
707000000,0.6666
708000000,0.6687
709000000,0.6687
710000000,0.6687
711000000,0.6687
712000000,0.6687
713000000,0.6687
714000000,0.6687
715000000,0.6687
716000000,0.6306
717000000,0.6306
718000000,0.6306
719000000,0.6306
720000000,0.6306
721000000,0.6306
722000000,0.6306
723000000,0.6306
724000000,0.6306
725000000,0.6306
726000000,0.6306
727000000,0.6306
728000000,0.6306
729000000,0.6306
730000000,0.6515
731000000,0.6515
732000000,0.6515
733000000,0.6515
734000000,0.6515
735000000,0.6515
736000000,0.6515
737000000,0.6515
738000000,0.6515
739000000,0.6515
740000000,0.6515
741000000,0.6515
742000000,0.6515
743000000,0.6515
744000000,0.6515
745000000,0.6515
746000000,0.4934
747000000,0.4934
748000000,0.4934
749000000,0.4934
750000000,0.4934
751000000,0.4934
752000000,0.4934
753000000,0.4382
754000000,0.3981
755000000,0.3981
756000000,0.3981
757000000,0.3981
758000000,0.3981
759000000,0.3981
760000000,0.3981
761000000,0.3981
762000000,0.3981
763000000,0.3981
764000000,0.3981
765000000,0.3981
766000000,0.3981
767000000,0.3981
768000000,0.3981
769000000,0.3981
770000000,0.3981
771000000,0.3981
772000000,0.3981
773000000,0.4119
774000000,0.4119
775000000,0.4119
776000000,0.4119
777000000,0.4119
778000000,0.4119
779000000,0.4119
780000000,0.4119
781000000,0.4119
782000000,0.4119
783000000,0.4119
784000000,0.4119
785000000,0.4119
786000000,0.4119
787000000,0.4119
788000000,0.4119
789000000,0.4119
790000000,0.4119
791000000,0.4119
792000000,0.4119
793000000,0.4119
794000000,0.4119
795000000,0.4235
796000000,0.4235
797000000,0.4235
798000000,0.4235
799000000,0.4235
800000000,0.4235
801000000,0.4235
802000000,0.4235
803000000,0.4235
804000000,0.4235
805000000,0.4235
806000000,0.4235
807000000,0.4235
