week,size_full_block,size_without_witness,size_witness
2020-09-28,1.2828076693467336,0.8654728120603016,0.41733485728643216
2022-07-11,1.245896111713666,0.662560352494577,0.583335759219089
2022-09-05,1.1824292009478672,0.6346104075829384,0.5478187933649288
2022-01-31,1.2604663113772454,0.7174561217564871,0.5430101896207584
2022-05-23,1.176781613,0.628222037,0.5485595759999999
2020-06-22,1.1637937754114231,0.8065199157792836,0.3572738596321394
2016-08-22,0.7650694492610838,0.7650694492610838,0
2023-07-17,1.6687053774560496,0.7722695532574974,0.8964358241985523
2024-06-17,1.6105983105590063,0.7916540517598344,0.8189442587991718
2012-10-01,0.10929659561128527,0.10929659561128527,0
2015-07-27,0.66272625,0.66272625,0
2016-11-28,0.9050521870300753,0.9050521870300753,0
2013-12-23,0.16767326182432432,0.16767326182432432,0
2012-02-27,0.02099147568093385,0.02099147568093385,0
