upper_threshold,lower_threshold,sharpe_ratio
0.2,0.1,-1.2037692173572676
0.3,-1.4,-0.49496592626894004
0.3,-1.3,-0.5346791040124909
0.3,-1.2,-0.5346791040124909
0.3,-1.1,-0.5346791040124909
0.3,-1.0,-0.5089787939346838
0.3,-0.9,-0.4309436158764732
0.3,-0.8,-0.4309436158764732
0.3,-0.7,-0.6455711709125814
0.3,-0.6,-0.7849600464180504
0.3,-0.5,-0.6697158062652975
0.3,-0.4,-0.434213952352121
0.3,-0.3,-0.2928246188749598
0.3,-0.2,-0.6861360955199087
0.3,-0.1,-0.5916663688537579
0.3,0.0,-0.7690928561668748
0.3,0.1,-0.7180379310110832
0.3,0.2,-0.9238377623528535
0.4,-1.4,-0.49496592626894004
0.4,-1.3,-0.4785570744522812
0.4,-1.2,-0.4785570744522812
0.4,-1.1,-0.4785570744522812
0.4,-1.0,-0.720048167342686
0.4,-0.9,-0.6372895133865387
0.4,-0.8,-0.6372895133865387
0.4,-0.7,-0.7826379966029237
0.4,-0.6,-0.8569262938600969
0.4,-0.5,-0.7196445307439326
0.4,-0.4,-0.49893322427436604
0.4,-0.3,-0.2112878613292735
0.4,-0.2,-0.6426811922885861
0.4,-0.1,-0.6138559041207803
0.4,0.0,-0.6568090898231211
0.4,0.1,-0.5949689491440562
0.4,0.2,-0.6579361133158218
0.4,0.3,-0.7120300260590381
0.5,-1.4,-0.46255280048931624
0.5,-1.3,-0.44703481442891485
0.5,-1.2,-0.44703481442891485
0.5,-1.1,-0.44703481442891485
0.5,-1.0,-0.7022844054220435
0.5,-0.9,-0.6209000586584829
0.5,-0.8,-0.6209000586584829
0.5,-0.7,-0.7691235331261999
0.5,-0.6,-0.8439186335349644
0.5,-0.5,-0.7053751107489271
0.5,-0.4,-0.5088823933251966
0.5,-0.3,-0.3038415344420132
0.5,-0.2,-0.6816797989467962
0.5,-0.1,-0.6664834204844569
0.5,0.0,-0.6960575251061077
0.5,0.1,-0.6334162075079727
0.5,0.2,-0.651746410596971
0.5,0.3,-0.6863970483269146
0.5,0.4,-0.6324963290935581
0.6,-1.4,-0.4472873054218002
0.6,-1.3,-0.7336217104168996
0.6,-1.2,-0.7336217104168996
0.6,-1.1,-0.7336217104168996
0.6,-1.0,-0.8675651030257708
0.6,-0.9,-0.8545828028134185
0.6,-0.8,-0.8545828028134185
0.6,-0.7,-0.8545828028134185
0.6,-0.6,-0.936206389980224
0.6,-0.5,-0.8036883777785123
0.6,-0.4,-0.5976680334630299
0.6,-0.3,-0.3421273435189032
0.6,-0.2,-0.6405807475330555
0.6,-0.1,-0.7331646962730008
0.6,0.0,-0.7595438643738232
0.6,0.1,-0.6980994382261172
0.6,0.2,-0.6182348233067552
0.6,0.3,-0.6220877129627822
0.6,0.4,-0.5329573458000657
0.6,0.5,-0.5410986795061531
0.7,-1.4,-0.4472873054218002
0.7,-1.3,-0.5842505664307526
0.7,-1.2,-0.5842505664307526
0.7,-1.1,-0.5842505664307526
0.7,-1.0,-0.37223089814913285
0.7,-0.9,-0.35831103886735644
0.7,-0.8,-0.35831103886735644
0.7,-0.7,-0.35831103886735644
0.7,-0.6,-0.4249392407346965
0.7,-0.5,-0.32895383045640714
0.7,-0.4,-0.29758423582289756
0.7,-0.3,0.06172544235473398
0.7,-0.2,-0.13516637610929463
0.7,-0.1,-0.30161557906782116
0.7,0.0,-0.4098758683316202
0.7,0.1,-0.5713273791367761
0.7,0.2,-0.5756608804511014
0.7,0.3,-0.5794770117166038
0.7,0.4,-0.5079743520821802
0.7,0.5,-0.572007028385917
0.7,0.6,-0.582495115855607
0.8,-1.4,-0.4472873054218002
0.8,-1.3,-0.5842505664307526
0.8,-1.2,-0.5842505664307526
0.8,-1.1,-0.5842505664307526
0.8,-1.0,-0.37223089814913285
0.8,-0.9,-0.35831103886735644
0.8,-0.8,-0.35831103886735644
0.8,-0.7,-0.35831103886735644
0.8,-0.6,-0.4249392407346965
0.8,-0.5,-0.34769286250291753
0.8,-0.4,-0.24468669679454613
0.8,-0.3,-0.06642438628716656
0.8,-0.2,-0.2670526457250964
0.8,-0.1,-0.43661472225573716
0.8,0.0,-0.4984238535845655
0.8,0.1,-0.5339340745696588
0.8,0.2,-0.5384410615459883
0.8,0.3,-0.5423227825938771
0.8,0.4,-0.4929767465076771
0.8,0.5,-0.4786050932375398
0.8,0.6,-0.47378712397637424
0.8,0.7,-0.4793985840460527
0.9,-1.4,-0.4472873054218002
0.9,-1.3,-0.5842505664307526
0.9,-1.2,-0.5842505664307526
0.9,-1.1,-0.5842505664307526
0.9,-1.0,-0.37223089814913285
0.9,-0.9,-0.35831103886735644
0.9,-0.8,-0.35831103886735644
0.9,-0.7,-0.35831103886735644
0.9,-0.6,-0.4249392407346965
0.9,-0.5,-0.2740852550072307
0.9,-0.4,-0.16617009436789967
0.9,-0.3,-0.14912257541374738
0.9,-0.2,-0.36696329883094436
0.9,-0.1,-0.5653033856149863
0.9,0.0,-0.49510090194739564
0.9,0.1,-0.51592947421649
